#OTU ID	BNC.no_1	BNC.no_2	BNC.no_3	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.5_1	BAF10.5_2	BAF10.5_3	BAF10.7_1	BAF10.7_2	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_1	RNC10.5_2	RNC10.5_3	RNC10.7_1	RNC10.7_2	RNC10.7_3	RNC.no_1	RNC.no_2	RNC.no_3	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.5_2	RAF10.5_3	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_1	RAF.no_2	RAF.no_3	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1	BNC10.5_2	BNC10.5_3	BNC10.7_1	BNC10.7_2	BNC10.7_3
c89fcffa3ef5aa209cbdb7fc173b072d	437	0	0	0	73	0	0	0	0	147	173	0	87	0	0	0	0	0	26	44	30	54	43	38	68	40	40	0	49	55	35	46	90	32	22	31	20	21	0	39	205	64	58	53	39	54	60	47	0	90	0	0	0	0	0	235	0	90	260	0
7dab730cc319f2d84c76e1340c774eff	0	415	337	74	0	78	74	81	23	0	0	184	0	186	167	72	133	65	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	76	78	65	110	82	0	168	0	0	371
98a1b4d946b1cfb6f0c2a57cf11bd0a3	246	217	194	54	60	76	60	75	0	114	142	132	76	108	84	78	123	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	64	46	69	59	53	64	132	121	85	128	183
7bdd0a63d3f126729d2448408c31c94f	405	0	0	0	55	0	0	0	0	152	209	0	99	0	0	0	0	0	0	24	44	56	62	38	50	52	39	0	44	60	32	33	93	22	37	36	33	22	27	33	132	67	59	42	30	87	56	36	0	87	0	0	0	0	0	211	0	110	242	0
67c9090a5f7c04ab9aa508867dbc1e7a	60	94	60	61	37	49	59	51	12	70	68	91	73	64	109	61	68	60	23	25	25	46	28	31	35	31	38	27	24	32	28	46	38	28	23	33	20	11	36	26	8	35	29	24	34	22	43	16	55	37	56	83	70	89	77	69	95	76	65	57
b19840c9cc980a8d4801ef828a9026e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	40	49	61	68	74	56	106	111	78	31	104	90	93	66	188	55	41	57	79	57	58	0	365	167	121	134	48	145	172	96	0	0	0	0	0	0	0	0	0	0	0	0
0fe1777180c48cee8b87e0cff83b6ab5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	208	208	0	252	0	230	247	0	0	0	221	0	0	0	186	0	0	228	0	185	284	0	255	0	0	0	0	0	0	0	0	0	0	0	0
e47d9e56669a2d934de07df3a151985d	484	342	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	270	0	340	456
6aff6c11ec63c6a4d30b858d7d510b26	0	25	0	54	200	9	0	16	0	0	0	0	0	0	0	0	10	0	10	0	117	0	23	0	0	28	6	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	374	242	1451	0	18	38	32	0	0	0	2	6
24e6522d95488c5531abf55fdeec9124	420	0	0	0	52	0	0	0	0	133	169	0	65	0	0	0	0	0	22	34	21	37	17	41	49	52	48	0	33	47	34	0	74	30	33	30	40	25	28	22	196	58	46	54	20	62	47	38	0	66	0	0	0	0	0	210	0	71	213	0
164329210bb022986a2cf64933267571	0	284	371	70	0	62	77	64	36	0	0	156	0	160	131	58	161	60	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	55	75	60	60	75	0	143	0	0	321
a0be910e118a32c0c206dd4b672e2dce	393	0	0	0	30	0	0	0	0	116	162	0	95	0	0	0	0	0	14	0	25	47	22	38	47	54	26	0	32	37	36	33	81	21	32	27	31	17	28	26	186	65	64	60	20	78	74	32	0	52	0	0	0	0	0	186	0	79	204	0
895bf8114634d9f6ce12455b598289c9	90	106	156	97	0	87	124	99	0	117	103	75	0	108	92	98	76	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	74	69	0	82	109	102	93	126	125	97	109
f4c63dee00b6cace6e11af1f8d0108b9	102	142	108	89	59	55	58	76	17	73	78	93	74	76	118	53	92	53	12	0	6	0	0	0	0	10	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	42	79	102	75	77	79	125	96	64	100	136
7af70676bb43412c0f3417374f5593d3	0	291	346	77	0	62	44	79	0	0	0	140	0	127	67	50	142	54	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	62	90	70	73	70	0	117	0	0	335
62e8e179ee499cd497ea3e92c1081508	101	86	102	35	34	34	30	37	0	72	65	61	47	52	70	20	81	36	0	20	28	29	32	32	33	32	34	0	31	28	27	32	36	28	31	13	17	12	26	20	25	39	25	32	30	32	31	25	34	40	56	32	44	44	56	77	55	40	62	79
15ad845ea0f3757e010167eafc07684b	0	0	0	6	0	9	0	9	4	0	0	0	0	0	0	0	17	8	27	26	45	70	62	58	97	60	57	24	71	59	62	44	111	41	34	57	52	31	43	42	276	109	148	132	56	131	184	89	0	0	0	0	0	0	7	0	0	0	0	0
e37da498f757edb99086bbfecf094a65	778	0	0	0	83	0	0	0	0	191	244	0	94	16	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	17	0	293	0	165	305	19
2dcf891976c8a56c927c0defe162ee54	0	0	0	0	0	34	0	22	33	35	0	0	2059	0	0	25	0	20	5	9	0	0	0	0	0	0	42	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
0e991019fef2c35b1f93a921bfc85697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	41	45	64	57	44	96	78	55	20	58	71	66	43	133	50	66	57	54	25	48	45	261	124	110	106	38	138	140	115	0	0	0	0	0	0	0	0	0	0	0	0
