#OTU ID	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1	BNC10.5_2	BNC10.5_3	BNC10.7_1	BNC10.7_2	BNC10.7_3	BNC.no_1	BNC.no_2	BNC.no_3	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.5_1	BAF10.5_2	BAF10.5_3	BAF10.7_1	BAF10.7_2	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_1	RNC10.5_2	RNC10.5_3	RNC10.7_1	RNC10.7_2	RNC10.7_3	RNC.no_1	RNC.no_2	RNC.no_3	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.5_2	RAF10.5_3	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_1	RAF.no_2	RAF.no_3
0c457766cb8f9280f31e57ac199585d7	1309	567	56	660	272	385	2262	6701	5350	1017	605	1065	359	1566	747	534	691	857	361	847	811	2307	3621	3347	365	584	357	142	66	200	664	569	783	190	419	360	3906	11323	1403	316	533	321	682	612	254	359	250	471	397	698	361	988	840	1135	175	205	174	202	168	186
51ad9234e0a5c37b50697c898a5b9b5e	735	262	0	552	468	440	501	244	346	313	616	551	1212	1474	1470	506	563	296	874	528	689	195	178	214	1806	3055	1586	4726	2333	1822	413	416	422	782	690	607	222	537	280	539	496	151	527	525	489	495	1077	817	1358	1800	1547	830	815	1135	2044	3046	2689	5117	3357	2491
f3b807d17606704564b4954d3d74f93e	532	327	13	1390	18979	7755	353	436	218	635	547	552	1040	14	0	84	806	154	0	0	0	0	0	51	281	0	0	75	736	263	149	201	453	5639	4570	9989	200	342	253	246	307	169	380	302	270	151	308	355	0	0	2	0	0	0	0	0	0	0	386	527
0256038464112ef07ee89775a433388c	9577	5599	16923	332	329	409	307	289	204	1280	1001	1462	295	778	713	0	0	0	0	0	0	212	266	418	0	438	498	0	0	0	4506	4850	8442	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e9d932dee29df9092065a4ddabe358b2	949	447	0	1263	3430	1650	480	887	234	2734	1881	1708	2662	459	249	259	487	163	324	457	169	132	210	157	716	913	524	320	683	589	964	904	831	4786	2371	5592	230	365	342	796	269	331	1739	842	1311	100	236	236	96	197	136	85	58	113	810	395	1213	125	554	586
4929313483be54c04536c40c13cf8d8f	297	82	0	437	560	380	175	162	98	132	106	112	152	397	224	354	416	136	969	779	888	164	125	120	226	428	0	256	903	207	145	131	130	571	767	1017	225	329	191	131	179	157	832	489	662	789	858	977	1151	1287	1022	291	267	367	337	330	394	12439	2813	11367
b02cc68fb80d4219e16cd6510ecdb092	69	99	43	392	771	614	173	138	81	71	50	49	117	169	85	278	294	276	2302	857	589	63	70	74	154	0	0	37	80	73	67	52	41	1288	890	2342	204	203	195	107	142	60	306	215	141	475	620	903	2299	2023	1975	271	356	501	1018	1624	1356	5424	2746	6947
466cc5fbc86e172b9e6e8b3c1e0368bb	157	362	83	600	164	432	329	334	627	475	333	158	258	284	757	478	509	772	428	371	594	439	647	227	913	414	997	609	530	697	894	2164	529	856	246	1139	156	346	322	252	252	216	208	321	340	1953	1012	3166	428	548	923	1194	802	459	927	2108	1755	2784	348	1582
f7a81f0f566078ed0867181f42309edf	80	33	0	65	76	266	232	130	113	259	633	196	85	212	127	162	86	180	7242	4966	4469	277	227	179	148	269	175	368	122	278	167	136	115	60	124	160	114	149	83	0	0	17	0	24	54	0	201	215	5028	4966	5966	123	117	920	250	261	262	202	0	46
a1c6aab9fa5716288de32a71ce09ae2f	1569	240	344	1187	1556	814	584	941	716	334	247	230	208	1702	196	694	1567	986	854	1092	1157	187	229	183	177	1109	85	192	910	421	1672	1644	1403	1408	1331	968	271	364	322	570	358	217	529	1700	371	636	609	1017	531	647	677	193	136	246	333	332	267	132	616	550
